//ID,NAME,DMG_FACTOR,HIT_NUMBER,HIT_CHANCE,CRI_CHANCE,CRI_MULTIPILE,MON_HP_BELOW,PLAYER_HP_BELOW,PEROID,CHANCE
0,UNKNOW,0,0,0,0,0,100,100,0,0
1,POUND,1,1,90,0,1,100,100,1,100
2,PUNCH,1,1,90,10,1.1,100,100,1,100
3,B_SLASH,1,1,90,5,1.2,100,100,1,100
4,B_SMASH,1.5,1,75,20,1.5,50,100,2,50
5,STOMP,1,1,80,5,1.2,100,100,1,100
6,KICK,1,2,60,2,1.1,100,10,2,60
7,STAB,1,1,90,10,1.2,100,100,1,100
8,SLASH,1,1,90,5,1.3,100,100,1,100
9,SMASH,1,1,90,15,1.5,100,100,1,100
10,BASH,1,1,90,20,1.5,100,100,1,50
11,MAGIC_SHOT,1,1,100,15,1.2,100,100,1,100
12,BLACK_MAGIC_SHOT,1,1,100,15,1.2,100,100,1,100
13,DO_YOU_KNOW_ME,1,1,90,20,1.3,100,100,1,100
14,I'M_KARN_THE_LEADER_OF_DARK_SIDES,1,1,90,20,1.3,100,100,1,100
15,SLASH,1,1,90,5,1.2,100,100,1,100
