//ID,NAME,DAMAGE,PLAYER[ATK,DEF,MAXHP,HP,GOLD,],WEAPON[ATK,DEF,MAXHP,],ARMOR[ATK,DEF,MAXHP,],PLAYER_ATTACK[dmgFactor , hitNumber , hitChance , criChance , criFactor,],MONSTER[ATK,DEF,MAXHP,HP,GOLD,],MONSTER_ATTACK[dmgFactor , hitNumber , hitChance , criChance , criFactor,],TURN,COOLDOWN
0,UNKNOW,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1,0,0,0,1,],[0,0,0,0,0,],[1,0,0,0,1,],0,99
1,HEAL_1,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1,0,0,0,1,],[0,0,0,0,0,],[1,0,0,0,1,],0,3
2,HEAL_2,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1,0,0,0,1,],[0,0,0,0,0,],[1,0,0,0,1,],0,3
3,BERSERK,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1.5,0,0,0,1.2,],[0,0,0,0,0,],[2,0,0,0,1.5,],1,3
4,GUARD,0,[0,10,0,0,0,],[0,0,0,],[0,0,0,],[1,0,0,0,1,],[0,0,0,0,0,],[0.7,0,0,0,1,],1,0
5,MAGIC_CLOTHE,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[0.5,0,0,0,1,],[0,0,0,0,0,],[1,0,0,0,1,],2,4
6,FREEZE_AURA,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[0.7,0,0,0,0.8,],[0,0,0,0,0,],[1,0,0,0,1,],1,3
7,ENERGY_BURST,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1,0,0,0,1,],[0,0,0,0,0,],[1.2,0,0,0,1.2,],1,3
8,EXCARIBUR,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1.5,0,0,0,1.2,],[0,0,0,0,0,],[1,0,0,0,1,],1,5
9,STRENGTH_MASTERY,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[1.1,0,0,0,1,],[0,0,0,0,0,],[0.8,0,0,0,1,],3,5
10,69_IS_ORIGIN_OF_EVERYTHING,0,[0,0,0,0,0,],[0,0,0,],[0,0,0,],[0.5,0,0,0,1,],[0,0,0,0,0,],[1.5,0,0,0,1,],2,5
